Mural Registration ID,Image Link,Image
19174,https://i0.wp.com/obeygiant.com/images/2015/07/We-Own-The-Future-poster1.jpg?fit=600%2C800&ssl=1,Picture
19105,,#VALUE!
19436,,#VALUE!
19213,https://www.optima.inc/wp-content/uploads/2021/02/Lauren-Asta_Lakeview.jpg,Picture
19108,,#VALUE!
19218,https://www.chicago.gov/content/dam/city/depts/dca/Public%20Art/mural_registry/grid_gallery/legends.jpg,#VALUE!
19432,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEh0Q-o2_wPRV1GGJg142gjqrbrKpIwehBeaiQ1KiUMdYZnI07u9sUxEtwhnXvTjRWLB9xxSfowsGSmOkxyRmmPVCbo-8-1-XyJa1SD6HRw4Btckm5g2esquSko05bppGi4YGY5eIqyKi8M/s2543/20200822_101142.jpg,Picture
19158,https://live.staticflickr.com/65535/48457948032_24d7fb7782_b.jpg,#VALUE!
19202,https://arches.arches-app-demo.opentechstrategies.com/files/95e6e989-3a6b-4e05-8860-d48b27e13092,Picture
19162,https://cydsmillie.com/wp-content/uploads/2017/07/The-Dream-painting-the-parade-768x1024.jpg,Picture
19226,https://loopchicago.com/assets/Tourism-Operators/images/11_Sam-Kirk_Power-to-the-People.jpg,Picture
19099,,#VALUE!
19196,https://images.squarespace-cdn.com/content/v1/571f86115559868d44e04020/1467829646066-VU59FE3GYBZLLZ4R9B1O/image-asset.jpeg?format=1500w,Picture
19317,,#VALUE!
19406,,#VALUE!
19316,,#VALUE!
19111,https://chicagobikeadventures.com/wp-content/uploads/2020/02/IMG_7310-2.jpg,Picture
19151,,#VALUE!
19189,https://images.squarespace-cdn.com/content/v1/5a5d03d1ccc5c5e98cce0269/6d8af5e6-8ea1-4b35-8a91-8ca795db42c5/WAC_060816_S022+copy.jpg?format=1500w,Picture
19287,,#VALUE!
19156,,#VALUE!
19396,https://cdn.myportfolio.com/1d8e54e6-ae5a-4d6a-8a28-57b7e374d96a/c5837ee3-3542-445a-890a-9752507abd07_rw_1200.jpg?h=54d7a54a3e7ba512560042000cfd7199,#VALUE!
19419,https://rpba.org/wp-content/uploads/2016/12/HS_CreativeCollective1-1080x720.jpg,Picture
19165,https://cydsmillie.com/wp-content/uploads/2017/07/What-We-Create-Final-768x419.jpg,Picture
19410,,#VALUE!
19175,https://live.staticflickr.com/4239/34997579503_5dbec5b2d1_b.jpg,Picture
19440,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSlnlf2oclRLQGtRZiz_BmUL1Cd1t83RM-XtA&s,#VALUE!
19100,,#VALUE!
19002,"https://static.wixstatic.com/media/656945_0275b70b3416408e8757bb1807328e25~mv2.png/v1/fill/w_640,h_400,al_c,lg_1,q_85,enc_auto/Miguel%20Del%20Real.png",Picture
19200,https://arches.arches-app-demo.opentechstrategies.com/files/uploadedfiles/Rectangular-Women.jpg,Picture
19177,https://streetartcities.com/media/1/1f8c0b19-7698-4a34-a6ae-1495a3d593f5/2048.jpg,Picture
19326,,#VALUE!
19087,,#VALUE!
19318,,#VALUE!
19167,https://masa-street-art.s3.us-east-2.amazonaws.com/ig/BhUNRHtnuf_.jpg,#VALUE!
19308,,#VALUE!
19393,https://images.squarespace-cdn.com/content/v1/5ff9a723c139232fa46bbd7b/f06a3177-e4d1-4ba1-baaa-1cf2548fee3b/IMG_7878.JPG?format=500w,#VALUE!
19095,,#VALUE!
19320,,#VALUE!
19282,https://loopchicago.com/assets/Tourism-Operators/images/12_Fonte_Fontes-World__FocusFillWzgwMCw2MDAsIngiLDExMV0.jpg,Picture
